onset	duration	startTime	stopTime	eventIdentifier	trial_type	trial_number	block_number	is_practice	fixation_color	cue_side	aoi_correct	aoi_incorrect
392.487	1.0	1181755	1182755	ELCue	VGS	57	3	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
393.912	2.0	1183180	1185207	ShowFixation	ANTI	58	3	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
395.939	0.2	1185207	1185442	BlankScreen	ANTI	58	3	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
396.174	1.0	1185442	1186442	ELCue	ANTI	58	3	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
397.596	2.0	1186864	1188894	ShowFixation	ANTI	59	3	False	red	180	[1035 1515  405  675]	[405 885 405 675]
399.626	0.2	1188894	1189129	BlankScreen	ANTI	59	3	False	red	180	[1035 1515  405  675]	[405 885 405 675]
399.861	1.0	1189129	1190129	ELCue	ANTI	59	3	False	red	180	[1035 1515  405  675]	[405 885 405 675]
401.282	6.0	1190550	1196581	ShowFixation	ANTI	60	3	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
407.313	0.2	1196581	1196820	BlankScreen	ANTI	60	3	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
407.552	1.0	1196820	1197820	ELCue	ANTI	60	3	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
408.978	2.0	1198246	1200272	ShowFixation	ANTI	61	3	False	red	180	[1035 1515  405  675]	[405 885 405 675]
411.004	0.2	1200272	1200507	BlankScreen	ANTI	61	3	False	red	180	[1035 1515  405  675]	[405 885 405 675]
411.239	1.0	1200507	1201507	ELCue	ANTI	61	3	False	red	180	[1035 1515  405  675]	[405 885 405 675]
412.663	2.0	1201931	1203959	ShowFixation	VGS	62	3	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
414.691	0.2	1203959	1204194	BlankScreen	VGS	62	3	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
414.926	1.0	1204194	1205194	ELCue	VGS	62	3	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
416.35	6.0	1205618	1211646	ShowFixation	ANTI	63	3	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
422.378	0.2	1211646	1211885	BlankScreen	ANTI	63	3	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
422.617	1.0	1211885	1212885	ELCue	ANTI	63	3	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
424.038	2.0	1213306	1215337	ShowFixation	VGS	64	3	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
426.069	0.2	1215337	1215572	BlankScreen	VGS	64	3	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
426.304	1.0	1215572	1216572	ELCue	VGS	64	3	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
427.727	2.0	1216995	1219024	ShowFixation	ANTI	65	3	False	red	460	[405 885 405 675]	[1035 1515  405  675]
429.756	0.2	1219024	1219259	BlankScreen	ANTI	65	3	False	red	460	[405 885 405 675]	[1035 1515  405  675]
429.991	1.0	1219259	1220259	ELCue	ANTI	65	3	False	red	460	[405 885 405 675]	[1035 1515  405  675]
431.408	6.0	1220676	1226711	ShowFixation	ANTI	66	3	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
437.443	0.2	1226711	1226950	BlankScreen	ANTI	66	3	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
437.682	1.0	1226950	1227950	ELCue	ANTI	66	3	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
439.1	6.0	1228368	1234401	ShowFixation	VGS	67	3	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
445.133	0.2	1234401	1234641	BlankScreen	VGS	67	3	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
445.373	1.0	1234641	1235641	ELCue	VGS	67	3	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
446.793	2.0	1236061	1238092	ShowFixation	ANTI	68	3	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
448.824	0.2	1238092	1238328	BlankScreen	ANTI	68	3	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
449.06	1.0	1238328	1239328	ELCue	ANTI	68	3	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
450.483	6.0	1239751	1245779	ShowFixation	VGS	69	3	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
456.511	0.2	1245779	1246019	BlankScreen	VGS	69	3	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
456.751	1.0	1246019	1247019	ELCue	VGS	69	3	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
458.166	2.0	1247434	1249470	ShowFixation	ANTI	70	3	False	red	460	[405 885 405 675]	[1035 1515  405  675]
460.202	0.2	1249470	1249706	BlankScreen	ANTI	70	3	False	red	460	[405 885 405 675]	[1035 1515  405  675]
460.438	1.0	1249706	1250706	ELCue	ANTI	70	3	False	red	460	[405 885 405 675]	[1035 1515  405  675]
461.858	6.0	1251126	1257157	ShowFixation	ANTI	71	3	False	red	180	[1035 1515  405  675]	[405 885 405 675]
467.889	0.2	1257157	1257397	BlankScreen	ANTI	71	3	False	red	180	[1035 1515  405  675]	[405 885 405 675]
468.129	1.0	1257397	1258397	ELCue	ANTI	71	3	False	red	180	[1035 1515  405  675]	[405 885 405 675]
469.55	2.0	1258818	1260848	ShowFixation	VGS	72	3	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
471.58	0.2	1260848	1261083	BlankScreen	VGS	72	3	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
471.815	1.0	1261083	1262083	ELCue	VGS	72	3	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
473.224	6.0	1262492	1268518	ShowFixation	VGS	73	3	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
479.251	0.2	1268519	1268758	BlankScreen	VGS	73	3	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
